Entry_DateTime,Entry_Price,Type,Entry_Reason,StopLoss,Size,Signal_Score,TakeProfit,Exit_DateTime,Exit_Price,Exit_Reason,PnL,Countermove_Duration,Countermove_Volume,Countermove_PricePct
2024-12-04 10:01:00-05:00,27.708799362182617,SHORT,Trend alignment (30.0%): DOWN; Price action (15.0%): BEARISH,28.618612063558114,1099,45.0,25.889173959431623,2024-12-04 10:02:00-05:00,27.790000915527344,Small price movement exceeded: 0.29% > 0.13%,-89.24050712585449,1.0,9709,0.29305330874621605
2024-12-04 10:06:00-05:00,27.86989974975586,SHORT,Trend alignment (30.0%): DOWN; Volume confirmation (25.0%); Price action (15.0%): BEARISH,28.779712451131356,1099,70.0,26.050274347004866,2024-12-04 10:07:00-05:00,28.03569984436035,Small price movement exceeded: 0.59% > 0.13%,-182.2143039703369,1.0,17388,0.5949073950506212
2024-12-04 10:15:00-05:00,28.1200008392334,SHORT,Trend alignment (30.0%): DOWN; Price action (15.0%): BEARISH,29.029813540608895,1099,45.0,26.300375436482405,2024-12-04 10:16:00-05:00,28.26000022888184,Small price movement exceeded: 0.50% > 0.13%,-153.8593292236367,1.0,22673,0.49786410195661174
2024-12-04 10:22:00-05:00,28.280000686645508,SHORT,Trend alignment (30.0%): DOWN; Price action (15.0%): BEARISH,29.189813388021005,1099,45.0,26.460375283894514,2024-12-04 10:24:00-05:00,28.020000457763672,Small duration exceeded: 2.0 > 1.0 min,285.7402515411377,2.0,17489,-0.919378439069891
2024-12-05 09:59:00-05:00,26.09499931335449,SHORT,Trend alignment (30.0%): DOWN; Volume confirmation (25.0%); Price action (15.0%): BEARISH,26.338014110638113,4114,70.0,25.60896971878724,2024-12-05 10:00:00-05:00,26.57999992370605,Small price movement exceeded: 1.86% > 0.13%,-1995.2925109863281,1.0,23519,1.8585959881721725
2024-12-05 10:14:00-05:00,27.051000595092773,SHORT,Trend alignment (30.0%): DOWN; Price action (15.0%): BEARISH; Reversal signal (30.0%): BEARISH,27.294015392376398,4114,75.0,26.564971000525524,2024-12-05 10:15:00-05:00,26.86000061035156,Small price movement exceeded: 0.71% > 0.13%,785.7739372253565,1.0,14765,-0.7060736406765786
2024-12-05 10:16:00-05:00,26.770000457763672,SHORT,Trend alignment (30.0%): DOWN; Volume confirmation (15.0%); Price action (15.0%): BEARISH,27.013015255047296,4114,60.0,26.283970863196423,2024-12-05 10:17:00-05:00,26.75,Small volume exceeded: 16456 > 10636,82.2818832397461,1.0,16456,-0.07471220553480216
2024-12-06 10:07:00-05:00,25.86000061035156,LONG,Trend alignment (30.0%): UP; Volume confirmation (25.0%); Price action (15.0%): BULLISH,26.35209649804839,2032,70.0,26.84419238574522,2024-12-06 10:08:00-05:00,25.799999237060547,Small price movement exceeded: 0.23% > 0.11%,-121.92279052733653,1.0,31428,-0.23202386649207574
2024-12-06 10:18:00-05:00,25.9950008392334,SHORT,Trend alignment (30.0%): DOWN; Price action (15.0%): BEARISH,26.48709672693023,2032,45.0,25.010809063839737,2024-12-06 10:19:00-05:00,25.920000076293945,Small price movement exceeded: 0.29% > 0.13%,152.40155029296875,1.0,15466,-0.28851994813655457
2024-12-06 10:20:00-05:00,25.88999938964844,SHORT,Trend alignment (30.0%): DOWN; Price action (15.0%): BEARISH,26.38209527734527,2032,45.0,24.90580761425478,2024-12-06 10:21:00-05:00,25.790000915527344,Small price movement exceeded: 0.39% > 0.13%,203.19689941406972,1.0,22099,-0.38624363259382516
2024-12-06 10:23:00-05:00,25.864999771118164,LONG,Trend alignment (30.0%): UP; Price action (15.0%): BULLISH; Reversal signal (30.0%): BULLISH,26.357095658814995,2032,75.0,26.849191546511825,2024-12-06 10:24:00-05:00,26.0,Small price movement exceeded: 0.52% > 0.11%,274.3204650878906,1.0,5065,0.521941736232228
2024-12-09 10:02:00-05:00,26.334999084472656,SHORT,Trend alignment (30.0%): DOWN; Price action (15.0%): BEARISH,26.56182102462317,4408,45.0,25.881355204171626,2024-12-09 10:03:00-05:00,26.309999465942383,Stop loss triggered at 26.31,110.19831848144531,1.0,2834,-0.09492925536121788
2024-12-10 09:59:00-05:00,23.85140037536621,LONG,Trend alignment (30.0%): UP; Price action (15.0%): BULLISH,24.270475575779585,2386,45.0,24.68955077619296,2024-12-10 10:00:00-05:00,23.899999618530277,Small price movement exceeded: 0.20% > 0.11%,115.9577941894616,1.0,7286,0.20375844771889992
2024-12-10 10:01:00-05:00,23.850099563598636,SHORT,Trend alignment (30.0%): DOWN; Price action (15.0%): BEARISH; Reversal signal (30.0%): BEARISH,24.26917476401201,2386,75.0,23.011949162771888,2024-12-10 10:02:00-05:00,23.90999984741211,Small price movement exceeded: 0.25% > 0.13%,-142.9220771789466,1.0,9206,0.25115318136824966
